comment,hour,pos,neg
부부 2부 개지루,2020-07-25 22:2,0,1
종이비행기는 아니지 않냐,2020-07-25 22:2,0,0
여기에디오오빠가왜나오죠?디오오빠는출연안했는데,2020-07-17 15:3,0,0
저도 같은 생각이었어요 디오 연기 볼 때마다 아이돌 맞아? 라고 놀랄 때가 많았는데 혜윤씨랑 하면 매 회 두 사람 연기력 폭발하겠죠?,2020-06-25 11:2,0,0
설강화 김혜윤 출연 확정되면 상대배우 도경수가 하면 완전 대박날것 같은데. 둘다 연기 진짜 존잘 ㅠㅠㅠ 아쉽다 군대 가있어서.,2020-06-25 11:0,1,1
부세 말하는 으르신들 아직 영구치로 만들어 드릴테니 그냥 가세요,2020-06-23 22:3,0,0
부부의 세계 거론하는것들 아갈머리를,2020-06-20 02:0,0,0
"스카이 캐슬  발표공개 하자마자  무책임 숨겨 버린 책임 지길...진심과 진실을  알고 있는 모든것과 집안걸고,.",2020-06-19 23:3,1,1
셤공부 안하고 스캐 정주행즁 ~~^~^,2020-06-17 10:4,1,0
ham님은...안다니는데 없네...ㅋㅋㅋ.관계자신가??,2020-06-14 02:5,0,0
작가가 누구신지  탄탄한 구성력에배우들 연기 너무 좋네요,2020-06-13 00:2,0,0
뭐뉴,2020-06-11 13:1,0,0
비교질 하는 수준 딩초냐,2020-06-11 01:2,0,0
한국 사회의 교육 현실을 적나라하게 보여주어서 너무 재밌어요,2020-06-08 21:2,0,0
와...재밌네..몰아보기 했는데  멈출수가  없었음!최고 !,2020-06-06 00:4,1,0
오늘 정주행 끝 ! 재밌었다,2020-06-05 18:0,1,0
예서가 제일 불쌍하다,2020-06-01 20:2,0,1
혜나 죽고 더 노잼...,2020-05-31 09:2,0,1
웃긴게 어른들이 더 싸움,2020-05-31 09:2,0,1
앞으로 스포하는놈들 아갈머리를 확 찢어버릴라,2020-05-30 22:2,0,1
그냥 갑자기 생각나서 와보니 토크가 있더구나,2020-05-30 03:4,0,0
부세보는 아지메들이 와서 시청률 뛰어넘었다.. 이렇게 다니심ㅋㅋ 요즘 들마 톡방에도 그런사람들 보여요;,2020-05-23 18:4,1,0
교도소 셋탑박스 맘카 공격 계속 합니다,2020-05-22 19:1,0,0
왜이렇게 부부의 세계랑 비교질 하는거임?,2020-05-20 19:1,0,0
밑에 부부의 세계 명대사 없으시다는 분... 부부의 세계와 사랑에 빠진게 죄는 아니잖아! Sky캐슬 재밌니?,2020-05-19 07:5,1,1
스카이 캐슬 부부의 세계 둘 다 다른 장르인데 욀캐 비교하는 거지... 이거는 이거대로 재밌고 부부의 세계는 그거대로 재밌는 건디,2020-05-19 07:5,1,0
스캐 본방으로 볼때도 톡방 엄청나게 활발하고 재밌었는데 부부의 세계는 진짜 얼마나 대단한겨 ㄷㄷ 대박,2020-05-19 07:4,2,0
스캐는 톡수는 적구낭,2020-05-18 03:3,0,0
오...톡방이 아직도 있네,2020-05-18 02:0,0,0
결말만 좀 더 탄탄했어도 명작이었을텐데,2020-05-18 01:3,0,0
구르미가 톡 300만 넘는다,2020-05-17 01:1,0,0
부세 결말 풉ㅋ,2020-05-17 00:3,0,0
부세가 더 재미있어요,2020-05-17 00:0,0,0
1년전거긴 하지만 와......이거 진짜 갓띵작ㅠ,2020-05-16 23:5,0,1
스캐넘 꿀잼이요ㅠㅠ오늘 몰아보기 했는데명장그자체네요ㅠ^ㅠ,2020-05-16 23:5,0,2
솔직히 스캐가 더 잘 만든듯,2020-05-16 15:5,1,0
스캐 ㄹㅈㄷ인데 부세 한테 뺏겼네요,2020-05-14 14:1,0,0
부세보다 톡수 많은데 있어요 ㅎ,2020-05-10 13:0,0,0
ㅋㅋㅋㅋ 뭘 그렇게 잘났다구,2020-05-10 13:0,0,0
애초에 톡수가 쨉도 안되네..부세 200만 돌파 ㄹㅈㄷ,2020-05-10 12:2,0,0
너무 짜증나고ㅈ같으면 연기잘하는거겟지..?,2020-05-06 02:3,1,0
정주행하고있는데 김혜나 개빡친다 ㄹㅇ,2020-05-06 02:3,1,0
부부의 세계가 스캐를 뛰어넘다...,2020-05-04 02:1,1,0
WANDS야 댓 싹다 삭제 해라 ㅋ,2020-05-03 20:3,0,1
WANDS는 관심이 필요합니다 관심을 주세요~~,2020-05-03 20:3,0,0
그토록 굳건히 악플달던애가 내 닉넴까지 언급하면서 부들대는거보니까 기분 개좋네 ㅋㅋㅋㅋㅋㅋㅋㅋ 수준 딱보인다 댓글로는 n번방이네 일베네 이러면서 반격 잘한거마냥 히죽대지만 현실에선 개 부들거리면서 주먹으로 벽치다가 손 골절되서 깁스하고 즙짜고있을듯 ㅠㅠ 화이팅!!,2020-05-03 20:3,2,0
세상에 뭔 저런애가 있냐 ㅋㅋㅋㅋ,2020-05-03 20:3,0,0
나는야 장애 그자체~~ 답글로 부들부들 대지요~~,2020-05-03 20:3,0,1
엄마아빠 미안 ㅠㅠ 나 맨날 악플달고살아 엄마아빠도 이런 내가 자랑스럽지? 히히,2020-05-03 20:3,0,0
저는 부모없는 호구입니다^^ 690님 짱짱 존경해요 욕한거 정말죄송합니다 히힛 부부의세계 망해랑,2020-05-03 20:3,2,2
부세는 초반에 잼났는데 까발린 저녁식사부터 힘빠짐 그래도 스캐가 더 잘 만든거 같다,2020-05-03 15:1,1,0
어떤환경에서 자라야 너같은 애가 되는지 궁금했어이거 여기 대사라는데 맞나여..?,2020-04-27 02:1,0,0
죄송합니다... 저는 장애 그 자체입니다ㅠㅠ 용서해주십쇼 다음부터 절대 안그러겠습니다 부부의세계 망해라 개망작 더러운 벌레드라마,2020-04-26 15:1,0,3
WANDS야 자식은 부모의 거울이래 니가 여태 드라마 톡방에 싸지른 욕설 전부다 캡쳐해뒀어 ㅋㅋㅋ 니가 제일 답없고 일베 N번방급임 ㅎㅎ 나중에 더모아서 한꺼번에 퍼트릴려고 히힛,2020-04-26 15:0,1,2
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2020-04-26 09:0,0,0
"둘다 최고입니다스캐는 창작 시청률 최고 , 부세는 리메이크 시청률 최고둘다 스타일도 다릅니다 거기다가 둘다 JTBC에서 방송되었으니 역대로봐도 둘다 최고입니다",2020-04-26 08:5,4,0
690 / 누구세요 ? 첨듣는 소리인것 같은데혹시 행동보니까 일베나 N번방 멤버신가요 ? 말좀 가려하세요 멍청한 티 그만 내시고요  일베나 N번방 멤버들은 다 그렇게 하는게 일상 인가요 한심합니다 ㅉㅉㅉ,2020-04-26 08:5,0,1
"스캐는 오스트에선 위올라이 하나라도 건졌고 전적으로 믿으셔야 합니다~,  아갈머리, 어머머, 너 맞구나~ 같은 재밌는 유행어 많이 남김. 부부의 세계는 뭐 있냐? 시청률만 높지 . OST는 타드한테 밀리고 유행어도 기억나는게 하나도 없고 기억에 남는 명대사도 없네?",2020-04-26 08:3,1,0
WANDS 다른드라마 톡방에선 악플 씹오지게다는앤데 여기선 좋은말로 포장하네 ㅋㅋㅋㅋ 한심 그자체,2020-04-26 08:2,1,1
150만가자,2020-04-26 08:1,0,0
ㅋㅋ,2020-04-26 08:1,0,0
스카이캐슬은..너무 재밌었다 진심 ㅋㅋ,2020-04-25 11:5,0,0
부부의 세계가 지금 시청률 최고로 거의 찍어가는건사실이지만 이제 좀 정확히 정리해드려야 할것 같네요부부의 세계는 미국 리메이크작품 입니다 하지만스카이 캐슬은 한국 순수 창작작품 입니다 즉한국창작 작품으로는 케이블 드라마 스카이캐슬이 시청률 최고이고 리메이크 작품으로 부부의 세계는 케이블 드라마 시청률 최고입니다 둘다 각자 창작과 리메이크 작품에 차이가 있습니다 이점 때문에 저는 스카이 캐슬을 더 높이 평가하고 싶은점이고 스카이 캐슬이 있었기에 새로운 도전으로 더 자극적인 부부의 세계가 나올수 있었다고 봅니다 결론은 부부의 세계는 스카이 캐슬을 넘고 말고가할수없는 위치인 리메이크작품 입니다 JTBC에서 tvn 시청률을 넘어서는 작품 두개가 JTBC에서 나온것만드로 혁신이라고 생각합니다 둘다 최곱니다,2020-04-25 02:1,5,0
ㅜㅜ 근데 스캐는 다 좋고 괜찮았는데. 혜나 죽고나서 까지만 명작이고 그후엔 별볼일 없는듯... 왜 총 20화인지? 결말만 괜찮게 잘다뤄주던가... 그럼 명작 될수도 있었는데 결말이 넘 흐지부지해서 넘 아쉽네... 자극적인 혜나 죽는 내용 보여줬으면 좀 더 자극적이고 막장스럽게 끝까지 내용 다루지... 급 해피엔딩은 어색하긴 했다... 스캐 첨 보시는 분들 마지막화는 진ㅉㅏ 싱거움,2020-04-19 09:2,2,3
걍 스캐도 막장임,2020-04-19 01:4,0,0
작품성은 스카이캐슬은 대박이었고 단 막방때스포 걸려서 막방 다른결말되서 막방이 흐지부지한막장이었고 이점빼곤 스카이 캐슬 최고였고부부의 세계는 작품성은 없지만 몰입과 연기가 자극성 강한 드라마 시청률은 스카이캐슬하고 대결구도 단계될것같고 톡수는 사실상 이미 부부의 세계누 8회만에 100만 최초 드라마 기록이라서 16회면 200만톡도 충분히 갈수도 있을듯 현재로선 150만톡은 거의 확정적이고,2020-04-19 00:4,2,2
생각보다 훨씬 재밌고만,2020-04-18 14:5,0,0
스카이캐슬이 부부의세계보다 재밌는듯,2020-04-18 00:3,0,0
그냥 전통적 개막장 드라마임. 재미는 나름 있음.,2020-04-18 00:0,1,0
레전드다 1회 엔딩부터 시작해서 미친듯이 봤다.. 12회 돌파..앞으로 더 기대된다 ㅠㅠ 너무 잼써..,2020-04-17 18:1,1,0
완전 막장 드라마. 이런 유치찬란한 드라마도 찾기 힘들 듯.어제 오늘 이틀동안 보고 너무 어이가 없었다.,2020-04-17 16:4,0,1
이게 그리 재밌음 ??? 봐볼까..,2020-04-15 10:2,0,0
김혜윤 예서가 부부의 세계 지선우 딸이었으면 ㅋㅋhttps://bit.ly/2XxQ3zh,2020-04-14 12:2,0,0
부부의세계가 더 재밌음.,2020-04-12 12:1,0,0
오늘 결방임?,2020-04-10 23:1,0,0
집콕 하면서 정주행중. 지금 봐도 김혜윤 연기 쩐다 ㅜ.ㅜ 진짜 너무 잘해 🙌🏻❤️,2020-04-09 04:2,2,3
부부의 세계 잘하면 이기록 백퍼깬다,2020-04-08 23:3,1,0
부부의 세계 19세꺼 잔인하지않던대 왜 19세 이상꺼?,2020-04-08 10:2,0,0
부부의세계가 23%기록 잘하면 깰듯,2020-04-06 16:0,1,0
2백만 고고,2020-04-06 01:3,0,0
2백만 가보자,2020-04-06 01:3,0,0
ㅋㅋ,2020-04-06 01:3,0,0
ㅋㅋ,2020-04-06 01:3,0,0
정주행중,2020-03-31 13:4,1,0
그걸왜여기서말함 스캐가짱이야,2020-03-28 16:4,0,0
부부의세계 드라마봐라 부부의세계가 더재밌음,2020-03-28 11:5,0,0
아 진짜 너무 열받아 예서나 그엄마나 염정아 개시른데 연기 잘하네,2020-03-27 20:2,1,0
오나라 넘 이쁨~~~,2020-03-27 20:1,0,0
구라야~~~ 다 구라야~~~,2020-03-27 16:3,0,0
위올라이 텔미더트루스,2020-03-26 23:0,0,0
정주행시작,2020-03-21 22:3,1,0
아이들을 이용하지말길.,2020-03-21 13:2,0,0
막댓,2020-03-21 00:3,0,0
막댓,2020-03-19 00:5,0,0
막댓,2020-03-18 17:0,0,0
근수있었네,2020-03-17 16:2,0,0
막댓ㅅㄱ,2020-03-16 16:5,0,0
재밌다,2020-03-15 22:5,0,0
ㅍ오너노어ㅠ옫ㅎ옹ㄱ,2020-03-10 21:5,0,1
ㅑ태ㅛ타ㅛ탯캐ㅛㅔ세ㅕ댜,2020-03-10 21:5,0,0
ㅜ다아어야뎌ㅕㅇㅇ,2020-03-10 21:5,0,1
끝까지 다 봤어서 그런지 마멜 너무 귀여워... 사랑스러워... ㅜㅜㅜㅜㅠㅠㅠㅠㅠ 싸가지없게 말해도 마멜은 마멜이다 너무 귀여워,2020-03-10 16:1,0,0
지금 1화보는데 어머님들 정보력에 모든걸 내던지고 발품팔이가 축지법 같이 빠르시네 무섭다 헬리콥터맘,2020-03-09 23:3,0,1
재밌네.예서진짜꼴뵈기시름.그정도로 연기를 잘하는듯ㅋㅋ,2020-03-09 05:5,1,0
웅기,2020-03-06 08:3,0,0
ㄷㄷ,2020-03-04 20:2,0,0
20화빼면 진짜역대급드라마 신선한소재에 여러요소들을 다루었지만 억지스럽지않고 굉장히 자연스럽고 매화매화가 흥미진진하고 많은걸 생각해보게됨 스카이캐슬정식주민은 아니지만 그래도 같이부대끼던 혜나가 죽었는데도 서로 다투던모습은 웃겼으나 한편으로는 소름이돋았음 사람이죽었는데 남의자식범인으로 몰아가며 집값걱정에 소문걱정 지리는 블랙코미디,2020-03-04 00:4,0,7
비상식적이다 라는 말은 진짜 이해가 안된다 진짜..그나마 드라마가 재미없다 이런말은 이해할 수 있는데 드라마는 말그대로 드라마임. 연극하는거. 굳이 실상을 따라해서 작품을 만들어야 되는거임?? 허상이 추가 되더라도 재미있게만 만들면 되는구만 우리나라 사람들 참이상해,2020-03-02 13:0,0,1
드라마중 과연 탑이라고 본다..본방사수했지만 또 봐도봐도 질리지않는...걸작오래오래기억할수있는 드라마또 만들어주세요.,2020-03-01 07:4,0,0
1회 시청률 1.7를 시작해서 쭉~ 올라갔네요대단한 드라마!!,2020-02-29 22:1,1,0
스포도 처벌해야함다,2020-02-27 08:2,0,1
실제로 전교 1 2등은 치열,2020-02-27 08:2,0,0
마지막회 내가 뭐보고 있지...,2020-02-27 08:2,0,0
예서 이쁘니,2020-02-26 02:1,0,0
예서 귀요미,2020-02-25 14:2,1,0
예서 싸가지,2020-02-24 12:5,0,0
지금 정주행중,2020-02-23 00:5,1,0
모야 왜 실시간 임?,2020-02-22 22:0,0,0
다시 정주행 중인데 대학 가기 싫어진다...,2020-02-22 17:4,1,0
?,2020-02-22 12:4,0,0
ㅎㄷㄷ,2020-02-18 19:2,0,0
추억 회상하러 다시 오신분 손 🤚,2020-02-17 00:4,0,0
안녕하세요,2020-02-16 22:4,0,0
ㄹㅇ띵작 내가본드라마중에 다섯안에꼽음,2020-02-15 22:1,0,0
ㅎㅇ?,2020-02-14 22:1,0,0
아,2020-02-09 23:1,0,0
기본적인 대한민국의 현실. 공부하다 죽으면 잘 죽은거,2020-02-08 23:4,1,0
엘레느 저 ㅅㄲ 왜 저래;;재미 없음 안보면 될걸 왜 채팅창까지 들어와서 누구도 안궁금한 얘기로 도배를 하는거ㅋ,2020-02-05 10:3,1,0
왓챠로 다시 정주행하고 왔는데 진짜 재밌다ㅜㅜ,2020-02-02 18:5,1,0
김주영 같은 캐릭터도 있나 황당하다,2020-01-31 10:5,0,0
왜 이 드라마가 인기 있는건지 이해도 안가고 저런게 실제 있는건지 참 씁쓸하네 과장되고 허상이 많네,2020-01-31 10:3,1,0
오랜만에 왔는데 엘레느님은 꼬박꼬박 찾아와주셨군요++ 저두 분발하겠습니다!! 오랜만에 정주행도 해야겠네요,2020-01-30 00:4,1,0
이태란 웃긴다,2020-01-29 16:5,0,0
JTBC결제해 보는데 재미는 없다 자식있는 사람들은 아이들 교육 시키기 때문에 봤나본데 좀 지루하다,2020-01-28 23:0,1,3
드라마 우울하고 비상식적이고 재미없다,2020-01-28 22:0,0,1
나도 보는데 재미도 공감도 잘 못하겠다 왜 인기가 있던거지 사교육을 말하기 위해 드라마 한건가본데 이런 세상 있다는게 놀랍다,2020-01-28 00:0,4,0
일루미나티를 위한 일루미나티의 사상 사타니즘 모든게 들어간 드라마 첨부어 끝까지 악마적임 사람의 귀신들림 배우들 얼굴을 다이아형태에  비추어 계속 여러개의 자아를 보여줌 드라마전체가 사람들에게 피라미드의 구조 세상을 받아들이라고 강요하고 전파 대한민국에서 이렇게 일루미나티 사상이 들어간 드라마는 첨봄,2020-01-26 11:2,0,1
본방으로 못보고 이제야 넷플릭스로 정주행한번 때렸는데.. 진짜 최대피해자는 강예서다.. 고위층 죽어버려 그냥..,2020-01-26 02:5,1,0
자세한  줄거리도 없고 내용도 자극적이고 자살에 짜증나는데 왜 인기가 높았던건지 선뜻 이해는 안간다,2020-01-26 00:3,1,0
출연자들이 성질 내는 장면은 다소 불편하네 찬희 나와서 보는데 사실 학생도 학부모도 아니라서 공감은 많이 못하겠다,2020-01-25 23:5,0,0
3일에 걸쳐서 정주행 했는데 진심 오늘 눈물 콧물 다 뺌ㅠㅠㅠ 명작이다 개재미있음ㅠㅠㅠㅠ,2020-01-25 03:5,1,1
정주행중인데 예서가 젤 불쌍한거같애 ㅠㅠ 아 혜나 역활 진짜 밉상이다,2020-01-22 13:2,1,0
정주행하고왔는데 진심 재밌다 ㅜ ㅜ  3번정주행했는데 혜나라는캐릭터는 악바리로 버티고 심지어악역처럼보일때도있었는데 유일한 버팀목인엄마가돌아가시고 아빠는 떵떵거리면서 자기라이벌이랑 잘사는데 나같아도 눈돌아갔다 볼때마다 너무짠해 혜나는 자기가 좀더행복해지려고 죽을힘을다해 살았다는거 생각하니까 슬프네 아쉽고,2020-01-22 02:1,1,2
아 다시 정주행중인데 진짜 혜나 캐릭터 비호감이긴 하다 예서가 스트레스 받을만 하긴 한데 배우는 다 좋아하는데 배우인뎈ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아 감정이입하지말쟈 앜!,2020-01-20 20:5,1,1
"진짜 스캐 2 나왔으면 좋갰지만 ,, 그래도 스캐 진짜 잘 받어용 !!차세리 언니 사이다 장면 다시 보고싶다 ㅠㅠ",2020-01-19 21:1,1,0
저는 박민혁   하버드생 아빠 캐릭터가 젤 재밌고 연기도  좋았습니다 ㅎ,2020-01-17 16:0,0,0
"넘 잼께 잘 봤습니다계속되는 긴장감 , 전혀 지루함 없었습니다최고",2020-01-17 16:0,2,0
어 아직도 톡방이 있네요,2020-01-17 00:2,0,0
저도 이제야 정주행 했어요 꼭 봐야할 드라마 였네요 교훈을 강하게 주네요ㅠ,2020-01-14 13:4,3,1
이제야 정주행했는데 너무 좋은 드라마네요! 배우들 연기도 최고!!!왜 스카이캐슬 스카이캐슬 했는지 알겠어요,2020-01-13 11:0,3,0
헐 그러네요 저는 오후 5시로 봤어요 ;; 이번주 편성표 정말 웃기네요 지금까지 챙겨 본 사람들은 좀 어이없을거 같네요,2020-01-11 01:0,0,0
근데 내일 방영분은 새벽이네요.. 12시에 할 줄 알았는대,2020-01-10 22:5,0,0
가을이가 범죄자ㅡ 공부만 하느라 어무것도 모르는 순진한  미성년자 꼬셔서 성관계 한건데... 이걸 남녀를 바꿔서 생각해보면 성인이 미성년자 꼬심 범죄임,2020-01-10 22:5,0,3
"아 진짜 쓰앵님,, 저 정주행함니당,,!",2020-01-10 20:5,1,0
찐찐 언니 넘 예쁘고 연기 완전 잘해요!찐찐커플 짱!!!!,2020-01-08 03:5,2,0
경찰 중 하나는 봄밤 정해인 친구네~반갑네요,2020-01-04 16:2,0,0
솔직히 가을이가 xx년인건 맞지 가을이가 누나고 성인인데 미성년인 고1인가 중3을 꼬셔 ㅋㅋ 진짜 못됬지 쓰레기지 눈물닦아주면서 귓속말하고 손잡고 포옹하고 침대눕고 쓰레기지 못배우고 인성도 안좋은애맞지,2020-01-03 16:4,0,1
"""혜나역배우가 양심이 있다면 자기가 명작말아먹은 건 미안해하겠지는"" 무슨 개소리죠?!",2019-12-31 01:3,0,0
본방할 때는 뉴스에 나오고 나서 몇회만 봐서 몰랐는데 이수임 진짜 못됐다. 자기만 옳다고 생각하고 남의 아픔 들쑤시고,2019-12-28 22:3,0,2
망치고싶었다기보단 망치기 쉬웠던거 아닐까요?,2019-12-26 13:5,0,0
근데 왜 김주영은 차교수가 아닌 한서진 가정을 택한걸까요? 뭔가 더 망치고 싶은 이유가 있었을까요?,2019-12-26 12:3,0,0
그리고 이태란방식도 폭력임 이태란 논리로 백분토론 나오면 10분도 안되서 바닥나고 벙어리됨 생각은 나름 개혁적인데 보여지는 언행과 방식은 다분히 독재적이고 폭력적임 드라마라서 마구잡이로 끌고가고 끝냈지만 이태란역할이 사회와 인간에 대한 기본적인 이해도 없는 무식한 인물임 물론 다른 등장인물들은 말할 것도 없음,2019-12-24 20:4,0,2
한번 봤으면 스카이캐슬은 혜나전과 혜나후로 나뉜다는 거 알아야지 혜나전은 명작/(혜나엄마죽은)혜나후는 망작. 혜나역배우가 양심이 있다면 자기가 명작말아먹은 건 미안해하겠지,2019-12-24 20:3,0,1
예전에 보고 다시 봤는데도 혜나가 왜 지아빠 찾는다 그러는 건지 이해가 안댐ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아니 어제 무엇이든 물어보살에도 엄마찾는 사람 나왔는데 서장훈도 오래됐으면 거기서 안반가워한다고 찾지말라고 하고 유투브보면 댓글도 다 그게 맞다고 하는데 저 드라마 방영땐 간통죄도 폐지된 때고 사실 간통죄조차도 아닌데 왜 심술부리는건지 진짜 선악을 떠나서 헤나 행동에 무슨 근거가 없음ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 고2인 나도 저렇진 않는데 죵나 무식해,2019-12-23 18:5,0,1
됩니다. 드라마라서 그런건 당연하지만 그래도 엄연한 사회문제를 다루는 부분이(동네이름도 나왔을만큼) 분명히 존재하기 때문에 실제 근거로 말하자면 드라마방영당시의 여론반응을 조사해보니 이드라마를 이동네들의 현실로 이해한 베스트댓글이 대부분이기도 했었습니다. 다큐가 아니어도 좀 더 제작시대에 맞는 현실고증에 스토리개연성과 캐릭터들의 합리성을 갖춰서 했으면 좋았단 생각이 많이 듭니다. 물론 어쩔 수 없는 작가의 재량이었죠 그래서 이런 모든 경험을 토대로 다음엔 더 나은 작품 만들기 바래서 이런 글을 썼습니다. 뒤늦었지만 작가배우분들 수고하셨고 이런 과거작들을 토대로 앞으로 한국에도 남녀노소볼만한 좋은 드라마들이 나오면 좋겠습니다. 큰 기대는 안되지만 이렇게라도 더 바래봅니다.,2019-12-22 10:2,1,0
진짜 필요한 건 옳은 소리를 인격적으로 풀어내면서 같이 옆에서 걸어줄 인생입니다. 그러나 이것은 남에게(가족에게도) 강요할 수 있는 사항이 아닙니다. 그나마 부모는(선생도 조금은) 기본적인 정도는 요구할 논리적입장이 있죠. 여러 사람이 이 드라마를 재밌다고 한 것 역시 이 드라마는 거의 개연성과 논리는 갖추고 있지 않은 데도 우리가 알던 사회문제를 가지고 극단적연출과 전개로 계속 감정호소만 하기 때문입니다. 저는 도곡동에 살고 드라마나오던 대치동도 자주 다녔고 이쪽에서 그래도 거의 20년간 많은 것을 보고 듣고 겪었습니다. 결국 드라마가 헛점투성이인건 연기자들의 연기가 문제가 아니고 대본쓴 사람의 능력한계와 문제 일텐데요. 삭막한 입시경쟁은 맞지만 분위기는 현실은 상관이 없을 만큼 거리가 멀어서 갸우뚱하게,2019-12-22 10:1,2,2
안녕하세요. 저는 이제20살이되는 아이큐180에 수능은 물론 1등급이고 현재는 개인적으로 역사정치경제철학종교문학 그리고 한국사회와 대중문화에 특별히 관심이 많은 사람입니다. 드라마추천받아서 중간정도 보고 있는데 처음 컨셉과 주제는 그럴듯하게 잡았는데 등장인물이 멍청한 사람뿐이라 답답하네요. 이태란 염정아 오나라 윤세아 다 작위적일 정도로 멍청하고 그남편캐릭터들도 멍청하고 그자식들도 멍청합니다.(그나마 차교수밑에 큰아들이 말이 적어서 그런지 멀쩡해보임) 그리고 옳은척 피해자인척 나오는 혜나나 그 어미도 하는 짓이 앞뒤가 안맞고 비합리적이며 멍청합니다. 참고로 이 사회와 인간 에겐 그럴싸한 소리가 필요한 게 아닙니다. 그럴싸한 소리도 다 옳지는 않습니다. 그리고 설령 옳은 소리라도 사회와 인간은 바꾸진 못합니다,2019-12-22 10:0,2,4
이런 드라마 또 안나오나,2019-12-21 11:2,0,0
어제 티비에서 재방송 하던데 어떤 드라만지 궁금해서 봤더니 할일도 못하고 계속 봤네요 음.. 연출자가 머리가 좋은거 같아요 계속 보게 만드는 포인트를 자꾸 만들대요 ㅋㅋ,2019-12-15 15:2,1,0
이걸 왜 지금 정주행하는지... 근데 이게 벌써 1년전꺼라니... 시간 참 빠르네,2019-12-15 13:1,1,0
작년에 회자될 때는 과장이고 허황된 이야기 같았는데 조국사태 겪어보니 이런 세계가 있었구나.,2019-12-15 02:3,0,0
나 이거 이제야 봤는데.. 1년 전에는 뒷부분만 보고 영재 부모가 잘못한 건줄 알았는데... 영재네 가정부.... 어린 애를 완전 유혹한 거네. 그리고 미성년자인 자기 자식이 가정부랑 뒤엉켜있으면 누구나 다 눈 뒤집아지지 않나?,2019-12-15 02:2,0,1
이게확 아갈머리를 찢어버릴까,2019-12-15 00:5,0,0
드라마큐브 재방송 지금4회보는데 엄청재밌네,2019-12-14 16:4,0,0
다시봐도 이태란 역할 캐릭터 좀 이상하게  잡은듯~,2019-12-14 16:3,0,1
스카이캐슬 다시하는군,2019-12-14 16:0,0,0
이게 다 가을이때무니다,2019-12-14 15:0,0,0
헐 이게 1년 됐다고?? 빠르다...,2019-12-14 14:2,1,0
진짜 대단한 작품인데 동시에 대한민국 교욱 뒷배경이 얼마나  드러운지 어느정도 암시해준 작품이지...출연진 캐스팅비로만 봐도 제작비 거덜났겠다 ㄷㄷ 시즌2 도 언젠가 기다려봄..,2019-12-14 14:1,1,0
"김혜수: kbs(2), mbc 대상 보유 / 고현정: sbs, mbc 대상 보유 / 김남주: kbs, mbc 대상 보유 / 장서희: sbs, mbc 대상 수상 / 김선아: sbs, mbc 대상 수상 / 하지원: kbs, mbc 대상 수상 / 김희선, 심은하, 김정은, 전도연, 문근영, 이보영, 전지현: sbs대상 / 송혜교: kbs대상 / 김지수, 이영애, 한효주, 이유리: mbc대상 -----------‐-------------‐-------------‐-------------‐--------- 70년생 이하 여자 대상 수상자",2019-12-11 06:2,10,0
"김명민: kbs(2), mbc 대상 보유 / 이병헌: sbs, kbs 대상 수상 / 지성: sbs, mbc 대상 보유 / 송일국, 배용준, 송승헌, 조승우, 이종석, 소지섭: mbc대상 / 장혁, 신하균, 송중기, 김수현: kbs대상 / 안재모, 주원, 감우성: sbs대상 = 70년생 이하 남자 대상 수상자 🏆🏆🏆트리플 크라운 근접자 현황: 김명민(S), 이병헌(M), 지성(K), 김혜수(S), 고현정(K), 김남주(S), 장서희(K), 김선아(K), 하지원(S)",2019-12-11 06:2,7,0
입시 시즌이라 와봤는데 벌써 1년이 지났네..,2019-12-10 10:3,0,0
진짜 오랜만이다,2019-12-08 13:2,0,0
진짜 뭔가를 생각하게 만든 흥미로운 드라마네,2019-11-30 21:4,0,0
이수임 캐릭터는 정말 정말 이해할 수가 없다  전혀 선핸 행동이라고 느껴지지도 않고 공감되지도 않는데 본인 가치관만이 옳은 일인 양 다른 사람들 성향을 싸그리 무시해버리네,2019-11-30 19:5,1,2
시간빠르네 스카이캐슬 벌써 1년,2019-11-28 21:5,0,0
1년이라니..,2019-11-23 01:5,0,0
와 ㅁㅊ,2019-11-23 01:5,0,1
이거 벌써 일년됨,2019-11-23 00:3,0,0
이게 잼나요 델루나가 잼나요,2019-11-22 21:3,0,0
ㄷㄷ,2019-11-21 18:4,0,0
ㅎㅇ올만ㅋㅋ,2019-11-21 02:2,0,0
도치아빠 정신또라이인가...;;;;,2019-11-09 01:5,0,0
저 3일간 다시보기로 다봤는데 봐도봐도 재밌어요!!!!,2019-11-05 04:1,0,0
2틀간정주행 할줄몰랐네 중반쯤가면 다음회가 궁금해서 않볼수가없네 ㅋ,2019-10-30 07:2,0,0
